420-cammalleri-michael,5.0,38.0,7.6,131578.95
2200-rielly-morgan,0.833,36.0,43.22,23138.89
2257-dekeyser-danny,2.25,20.0,8.89,112500.0
265-grabovski-mikhail,5.0,0.0,0.0,0
917-brassard-derick,6.0,58.0,9.67,103448.28
1201-macdonald-andrew,4.5,8.0,1.78,562500.0
805-moulson-matt,6.0,21.0,3.5,285714.29
63-pronger-chris,0.525,1.0,1.9,525000.0
845-methot-marc,4.9,12.0,2.45,408333.33
1833-vatanen-sami,1.275,38.0,29.8,33552.63
157-gaborik-marian,6.075,47.0,7.74,129255.32
640-martin-paul,5.75,20.0,3.48,287500.0
472-clowe-ryane,4.85,4.0,0.82,1212500.0
437-doan-shane,4.55,47.0,10.33,96808.51
1597-faulk-justin,3.5,37.0,10.57,94594.59
2215-kucherov-nikita,0.7,66.0,94.29,10606.06
187-kronwall-niklas,6.0,26.0,4.33,230769.23
349-hartnell-scott,5.0,49.0,9.8,102040.82
1984-trocheck-vincent,0.6,53.0,88.33,11320.75
2295-soderberg-carl,5.0,51.0,10.2,98039.22
1625-nyquist-gustav,4.0,43.0,10.75,93023.26
2592-lehtera-jori,2.25,34.0,15.11,66176.47
705-little-bryan,4.75,42.0,8.84,113095.24
1499-mcdonagh-ryan,4.5,34.0,7.56,132352.94
816-macarthur-clarke,4.5,2.0,0.44,2250000.0
1402-brodie-t-j-,3.9,45.0,11.54,86666.67
1455-palmieri-kyle,1.6,57.0,35.62,28070.18
1974-kreider-chris,2.6,43.0,16.54,60465.12
1090-garrison-jason,4.5,11.0,2.44,409090.91
1321-ennis-tyler,4.75,11.0,2.32,431818.18
1407-johansson-marcus,3.75,46.0,12.27,81521.74
1181-anisimov-artem,4.0,42.0,10.5,95238.1
131-luongo-roberto,0.8,6.0,7.5,133333.33
121-burrows-alexandre,4.0,22.0,5.5,181818.18
226-stralman-anton,4.5,34.0,7.56,132352.94
907-brouwer-troy,3.75,39.0,10.4,96153.85
1147-pacioretty-max,4.0,64.0,16.0,62500.0
1192-niemi-antti,4.5,7.0,1.56,642857.14
1348-kadri-nazem,4.1,45.0,10.98,91111.11
1285-marchand-brad,4.5,61.0,13.56,73770.49
102-beauchemin-francois,4.5,34.0,7.56,132352.94
1327-demers-jason,3.65,23.0,6.3,158695.65
1490-zuccarello-mats,4.5,61.0,13.56,73770.49
857-halak-jaroslav,4.75,4.0,0.84,1187500.0
775-laich-brooks,4.0,20.0,5.0,200000.0
775-laich-brooks,4.0,20.0,5.0,200000.0
1507-tanev-christopher,3.5,18.0,5.14,194444.44
2159-killorn-alex,2.7,40.0,14.81,67500.0
250-fisher-mike,4.8,23.0,4.79,208695.65
1080-sutter-brandon,3.3,9.0,2.73,366666.67
411-johnson-jack,5.0,14.0,2.8,357142.86
292-stafford-drew,4.35,38.0,8.74,114473.68
1270-kulikov-dmitry,4.5,17.0,3.78,264705.88
1589-couturier-sean,2.0,39.0,19.5,51282.05
1256-dubnyk-devan,5.0,6.0,1.2,833333.33
1061-frolik-michael,5.5,32.0,5.82,171875.0
1938-klingberg-john,2.25,58.0,25.78,38793.1
480-vlasic-marc-edouard,4.25,39.0,9.18,108974.36
1243-van-riemsdyk-james,4.75,29.0,6.11,163793.1
1038-hornqvist-patric,4.25,51.0,12.0,83333.33
649-gionta-brian,4.25,33.0,7.76,128787.88
1184-abdelkader-justin,2.25,42.0,18.67,53571.43
958-ericsson-jonathan,4.25,15.0,3.53,283333.33
1456-shattenkirk-kevin,4.3,44.0,10.23,97727.27
1585-savard-david,1.3,25.0,19.23,52000.0
1587-smith-craig,3.75,37.0,9.87,101351.35
1335-bozak-tyler,5.0,35.0,7.0,142857.14
716-anderson-craig,4.75,5.0,1.05,950000.0
1087-kulemin-nikolay,4.25,22.0,5.18,193181.82
1013-oshie-t-j-,4.5,51.0,11.33,88235.29
1726-klefbom-oscar,0.833,12.0,14.41,69416.67
1548-talbot-cam,1.45,5.0,3.45,290000.0
1572-larsson-adam,2.5,18.0,7.2,138888.89
1972-brodin-jonas,2.5,7.0,2.8,357142.86
405-bernier-jonathan,4.15,3.0,0.72,1383333.33
1018-hjalmarsson-niklas,4.2,24.0,5.71,175000.0
1569-emelin-alexei,3.9,12.0,3.08,325000.0
910-mason-steve,4.1,10.0,2.44,410000.0
2274-bjugstad-nick,2.85,43.0,15.09,66279.07
2221-maatta-olli,0.833,19.0,22.81,43842.11
